"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMean.siCtrlBH5","baseMean.siCtrlBH5_dsDNA","symbol","entrez"
"ENSG00000000003",5.46548156052903,0.0775905043459371,0.541379167707762,0.724935530144691,0.942697242402338,5.51393493404708,5.41702818701097,"TSPAN6","7105"
"ENSG00000000005",0,0,0.842240301688744,NA,NA,0,0,"TNMD","64102"
"ENSG00000000419",1.90237426770121,-0.307773083666126,0.837637720410962,0.147296297162522,NA,3.80474853540243,0,"DPM1","8813"
"ENSG00000000457",18.4727997986155,-0.276431372848657,0.433167993519917,0.25538236177297,0.661569204169253,22.851232998626,14.094366598605,"SCYL3","57147"
"ENSG00000000460",44.792662884635,0.100111976630198,0.312092497432452,0.621061153368975,0.898837997827107,40.4809199898679,49.104405779402,"C1orf112","55732"
"ENSG00000000938",0.19705012534687,0.0371369124900219,0.75269301453909,0.788033061824116,NA,0,0.394100250693741,"FGR","2268"
"ENSG00000000971",22.6026205868463,1.29220203461168,0.662663501837923,0.00132408561681715,0.0189705840883341,9.16086045846886,36.0443807152237,"CFH","3075"
"ENSG00000001036",14.2788376287238,0.0854727335287723,0.403956718123907,0.703877392908059,0.9357897987622,12.8376772981095,15.7199979593381,"FUCA2","2519"
"ENSG00000001084",6.92178896962515,0.0563323890320305,0.476613678433837,0.803197586852508,0.96268264236953,6.22207560495515,7.62150233429515,"GCLC","2729"
"ENSG00000001167",7.85451702075449,-0.270516702596534,0.535255221491927,0.276918736462553,0.680611500055225,10.4346509287289,5.27438311278005,"NFYA","4800"
"ENSG00000001460",1.84549448585589,0.215901927577975,0.726669625900594,0.295515913807877,NA,1.15912721433935,2.53186175737244,"STPG1","90529"
"ENSG00000001461",9.7568519274591,-0.168926571231847,0.468147589516859,0.472644757904791,0.825222670342999,11.6570990335119,7.85660482140629,"NIPAL3","57185"
"ENSG00000001497",9.95027073928025,0.13676652798443,0.509649960751767,0.553093548393048,0.868989911864769,9.37769231517824,10.5228491633823,"LAS1L","81887"
"ENSG00000001561",0,0,0.842240301688744,NA,NA,0,0,"ENPP4","22875"
"ENSG00000001617",1.48677268231202,0.200578178107002,0.737068316316647,0.310852696040682,NA,0.793686396318923,2.17985896830511,"SEMA3F","6405"
"ENSG00000001626",0,0,0.842240301688744,NA,NA,0,0,"CFTR","1080"
"ENSG00000001629",7.70214894844721,0.419127928923042,0.633016908181362,0.126659533606293,0.476643339810601,4.32008822960843,11.084209667286,"ANKIB1","54467"
"ENSG00000001630",61.0359797654246,-0.889378970526621,0.423303756281976,0.00283669771631987,0.0340736226776131,86.5376220648828,35.5343374659664,"CYP51A1","1595"
"ENSG00000001631",6.55806211940954,0.25928089788314,0.565546907400394,0.291083743678823,0.692418288281787,4.64797125215836,8.46815298666072,"KRIT1","889"
"ENSG00000002016",3.97416744996968,0.00278285771922789,0.537541783401666,0.989792118632842,0.999044745523928,4.43526761569471,3.51306728424465,"RAD52","5893"
"ENSG00000002330",3.31033746891424,-0.11872080120385,0.571579521504174,0.589611796442464,NA,4.24781094403864,2.37286399378984,"BAD","572"
"ENSG00000002549",12.4574557697799,2.77244939423002,1.17584900979554,6.26417209710989e-05,0.00149481163588224,1.46607531679659,23.4488362227633,"LAP3","51056"
"ENSG00000002586",21.2120406753016,0.287536701914566,0.428128003587653,0.237241587613558,0.642201406199852,15.6617988957025,26.7622824549008,"CD99","4267"
"ENSG00000002587",0.522231979209311,-0.0656216698960623,0.759079437057721,0.640141219887941,NA,1.04446395841862,0,"HS3ST1","9957"
